text,label
"Hey Sam, are we still on for this weekend?",Personal
"Hey Sam, are we still on for this weekend?",Personal
Earn $500 per day from home. Limited time: http://verify-now.example,Spam
My account is locked after an update. Can you reset it?,Support
Congratulations! You won a vacation. Click http://verify-now.example to claim now.,Spam
"Hey Taylor, are we still on for this weekend?",Personal
Flash deal: laptops for $29. Shop now at HomePlus.,Promotions
My account is locked after a password change. Can you reset it?,Support
"Hey Jordan, are we still on for tomorrow?",Personal
Ticket #5502: login errors. Please advise on next steps.,Support
Earn $1500 per day from home. Limited time: http://bonus.example,Spam
TechMart sale: 10% off laptops. Ends tomorrow.,Promotions
"Happy birthday, Jordan! Let's catch up next week.",Personal
URGENT: Your account has been compromised. Verify at http://verify-now.example.,Spam
Flash deal: kitchenware for $29. Shop now at ShopNow.,Promotions
New arrivals at StyleCo. Get 10% off with code HELLO20.,Promotions
New arrivals at HomePlus. Get 30% off with code DEAL30.,Promotions
HomePlus sale: 10% off shoes. Ends Friday.,Promotions
"Hey Sam, are we still on for this weekend?",Personal
My account is locked after a login attempt. Can you reset it?,Support
"Happy birthday, Alex! Let's catch up next week.",Personal
I need help with the reporting API. The error says 'invalid token'.,Support
"Happy birthday, Alex! Let's catch up this weekend.",Personal
"Hey Jordan, are we still on for tomorrow?",Personal
Your cart misses you. Save 30% on kitchenware today.,Promotions
Earn $500 per day from home. Limited time: http://free-offer.example,Spam
Flash deal: headphones for $49. Shop now at ShopNow.,Promotions
Thanks for the help yesterday. Lunch next week?,Personal
"Happy birthday, Alex! Let's catch up tomorrow.",Personal
Ticket #5502: API timeouts. Please advise on next steps.,Support
Flash deal: kitchenware for $49. Shop now at TechMart.,Promotions
Congratulations! You won a vacation. Click http://bonus.example to claim now.,Spam
I need help with the mobile app. The error says 'invalid token'.,Support
Flash deal: shoes for $29. Shop now at HomePlus.,Promotions
Congratulations! You won a vacation. Click http://verify-now.example to claim now.,Spam
You have been selected for a gift card. Reply with your password.,Spam
"Happy birthday, Alex! Let's catch up tomorrow.",Personal
Your cart misses you. Save 20% on kitchenware today.,Promotions
"Happy birthday, Sam! Let's catch up this weekend.",Personal
